id,decision,status,objective,candidateObjective,mapping,originalDomain,domain,question,reason,reference,reviewedAt
"418","archivar","archived","","1.2","provisional","Colaboracion y Proteccion de datos","Arquitectura y Data Cloud","What are ways to create and manage data shares in Snowflake? (Choose two.)","Repite los métodos de gestión de shares ya contrastados en el ID 131, sin aportar un escenario nuevo.","https://docs.snowflake.com/en/user-guide/data-sharing-intro.html","2026-09-21"
"419","conservar_revisada","verified","1.5","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","What is a characteristic of data micro-partitioning in Snowflake?","Enunciado, opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions","2026-09-21"
"420","conservar_revisada","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Users with the ACCOUNTADMIN role can execute which of the following commands on existing users?","Enunciado, opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/security-access-control-overview","2026-09-21"
"421","apartar","quarantine","","2.1","provisional","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","According to Snowflake best practice recommendations, which system-defined roles should be used to create custom roles? (Choose two.)","La selección SYSADMIN/USERADMIN requiere corregir el papel de SECURITYADMIN.","https://docs.snowflake.com/en/user-guide/security-access-control-overview.html#custom-roles",""
"422","apartar","quarantine","","2.1","provisional","Arquitectura y Data Cloud","Gestion de cuenta y Gobernanza","What services are provided by the cloud services layer in Snowflake? (Choose two.)","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/intro-key-concepts#cloud-services",""
"423","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which are valid values for COPY INTO table VALIDATION_MODE? (Choose two.)","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-table","2026-09-21"
"424","conservar_revisada","verified","1.1","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Snowflake virtual warehouses are part of which layer of the Snowflake architecture?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/intro-key-concepts","2026-09-21"
"425","conservar_revisada","verified","1.3","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which of the following are characteristics of schemas used in Snowflake? (Choose two.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/databases","2026-09-21"
"426","conservar_revisada","verified","1.5","","editorial","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","Which Snowflake objects can be used to reduce data storage costs for short-lived tables? (Choose two.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/tables-temp-transient","2026-09-21"
"427","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which command lists files present in a stage after an unload?","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/sql/list","2026-09-21"
"428","apartar","quarantine","","2.2","provisional","Colaboracion y Proteccion de datos","Gestion de cuenta y Gobernanza","What are benefits of using the ACCESS_HISTORY view in the SNOWFLAKE database?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/access-history#benefits",""
"429","conservar_revisada","verified","1.5","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which of the following view types are available in Snowflake? (Choose two.)","Enunciado, opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/views-materialized","2026-09-21"
"430","conservar_revisada","verified","1.1","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which of the following statements describes a benefit of Snowflake’s separation of compute and storage? (Choose two.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/intro-key-concepts","2026-09-21"
"431","conservar_revisada","verified","1.3","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which of the following languages can be used to implement Snowflake User Defined Functions (UDFs)? (Choose two.)","Enunciado, opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/developer-guide/udf/udf-overview","2026-09-21"
"432","apartar","quarantine","","3.1","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","What is the default compression type when unloading data from Snowflake?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/data-unload-considerations.html#compression",""
"433","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which statement describes when a virtual warehouse can be resized?","Enunciado, opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/warehouses-tasks","2026-09-21"
"434","apartar","quarantine","","3.1","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","What is the compressed size limit for semi-structured data loaded into a VARIANT data type using the COPY command?","Límite histórico de 16 MB sin contexto de tipo/versión; contrastar con límites actuales.","https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare#semi-structured-data-size-limitations",""
"435","apartar","quarantine","","5.1","provisional","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","User A cloned a schema and overwrote a schema that User B was working on. User B no longer has access to their version of the tables. However, this all occurred within the Time Travel retention period defined at the database level. How should the missing tables be restored?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/sql-reference/sql/undrop-table.html",""
"436","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","How does Snowflake recommend handling the bulk loading of data batches from files already available in cloud storage?","Enunciado, opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/data-load-overview","2026-09-21"
"437","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","What is the default ENCODING value for a CSV file format?","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/sql/create-file-format","2026-09-21"
"438","corregir","verified","4.4","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","What distinguishes an anonymous Snowflake Scripting block from a stored procedure?","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/developer-guide/snowflake-scripting/blocks","2026-09-21"
"439","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","When unloading data from Snowflake, the user executes a COPY INTO command into an internal stage. What additional command is required to load the file onto the local file system?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/sql-reference/sql/get","2026-09-21"
"440","conservar_revisada","verified","4.1","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","A Snowflake user has a query that is running for a long time. When the user opens the query profiler, it indicates that a lot of data is spilling to disk. What is causing this to happen?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/ui-snowsight-activity","2026-09-21"
"441","apartar","quarantine","","3.1","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","What is the MOST performant file format for loading data in Snowflake?","No existe un formato universalmente más rápido independiente del volumen, compresión y estructura de los archivos.","https://community.snowflake.com/s/article/How-to-Load-Terabytes-Into-Snowflake-Speeds-Feeds-and-Techniques",""
"442","archivar","archived","","1.2","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which chart type does Snowsight support to visualize worksheet data?","Trivia sobre tipos de gráficos de una interfaz cambiante; se retira del simulacro y se conserva el original.","https://docs.snowflake.com/en/user-guide/ui-snowsight-visualizations","2026-09-21"
"443","corregir","verified","4.1","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","For a native table scan, Partitions scanned is lower than Partitions total. What can you conclude?","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions","2026-09-21"
"444","corregir","verified","4.2","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","Which clustering metric helps assess overlap among micro-partitions for candidate clustering columns?","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/tables-clustering-keys","2026-09-21"
"445","apartar","quarantine","","3.1","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which file format is MOST performant in Snowflake for data loading?","No existe un formato universalmente más rápido independiente del volumen, compresión y estructura de los archivos.","https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare#file-format",""
"446","corregir","verified","1.2","","editorial","Gestion de cuenta y Gobernanza","Arquitectura y Data Cloud","Does sharing a Snowsight worksheet automatically grant recipients access to its underlying database objects?","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/ui-snowsight-worksheets","2026-09-21"
"447","conservar_revisada","verified","3.2","","editorial","Colaboracion y Proteccion de datos","Carga, Descarga y Conectividad","Which Snowflake objects track DML changes made to tables, like inserts, updates, and deletes?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/streams-intro","2026-09-21"
"448","apartar","quarantine","","2.3","provisional","Arquitectura y Data Cloud","Gestion de cuenta y Gobernanza","Which table type is automatically deleted after a session is closed and has no Fail-safe or Time Travel cost?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/tables-temp-transient.html#temporary-tables",""
"449","apartar","quarantine","","4.4","provisional","Gestion de cuenta y Gobernanza","Rendimiento, Consultas y Transformacion","Which constraint type is enforced in Snowflake from the ANSI SQL standard?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/sql-reference/constraints-properties#ansi-sql-constraint-properties",""
"450","corregir","verified","2.3","","editorial","Rendimiento, Consultas y Transformacion","Gestion de cuenta y Gobernanza","Which ACCOUNT_USAGE view reports hourly warehouse credit usage?","Corregidos alcance, ambigüedad o contenido desactualizado; alternativas y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/account-usage/warehouse_metering_history","2026-09-21"
"451","conservar_revisada","verified","4.1","","editorial","Arquitectura y Data Cloud","Rendimiento, Consultas y Transformacion","What is a characteristic of the Snowflake query profiler?","Enunciado, opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/ui-snowsight-activity","2026-09-21"
"452","corregir","verified","5.2","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","A provider wants to let a supplier query shared data without purchasing its own Snowflake account. Which approach is designed for this?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/data-sharing-reader-create","2026-09-21"
"453","corregir","verified","5.2","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","For a direct secure share, what determines which provider objects the consumer can query?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/data-sharing-intro","2026-09-21"
"454","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which command is used to load files into an internal stage within Snowflake?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/sql-reference/sql/put","2026-09-21"
"455","corregir","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Under role-based access control, which entity receives SELECT on a table and is then assigned to users?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/security-access-control-overview","2026-09-21"
"456","apartar","quarantine","","1.2","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","What is the default value in the Snowflake Web Interface (UI) for auto suspending a Virtual Warehouse?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/warehouses-tasks.html#suspending-and-resuming-warehouses",""
"457","corregir","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","An auto-scaling multi-cluster warehouse is at its configured maximum, and otherwise healthy independent queries are queuing. Which change can allow more clusters to serve this workload?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"458","conservar_revisada","verified","4.4","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","Which data types are valid in Snowflake? (Choose two.)","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/data-types-semistructured","2026-09-21"
"459","apartar","quarantine","","1.4","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","What happens when the size of a virtual warehouse is changed?","Afirma que las consultas en ejecución se migran a la nueva configuración al redimensionar.","https://docs.snowflake.com/en/user-guide/warehouses-tasks.html#resizing-a-warehouse",""
"460","corregir","verified","2.2","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","When does Snowflake automatically rotate active keys in its Snowflake-managed encryption-key hierarchy?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/security-encryption-manage","2026-09-21"
"461","apartar","quarantine","","2.1","provisional","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","As a best practice, all custom roles should be granted to which system-defined role?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/security-access-control-considerations#avoid-using-the-accountadmin-role-to-create-objects",""
"462","apartar","quarantine","","4.4","provisional","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","Which Snowflake object can be accessed in the FROM clause of a query, returning a set of rows having one or more columns?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/sql-reference/functions-table.html",""
"463","conservar_revisada","verified","1.5","","editorial","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","How are micro-partitions typically generated in Snowflake?","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions","2026-09-21"
"464","apartar","quarantine","","2.1","provisional","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","What does Snowflake recommend regarding database object ownership? (Choose two.)","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/security-access-control-overview.html",""
"465","conservar_revisada","verified","2.3","","editorial","Rendimiento, Consultas y Transformacion","Gestion de cuenta y Gobernanza","Other than ownership what privileges does a user need to view and modify resource monitors in Snowflake? (Choose two.)","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/resource-monitors","2026-09-21"
"466","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","What technique does Snowflake recommend for determining which virtual warehouse size to select?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-considerations","2026-09-21"
"467","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which command should be used when loading many flat files into a single table?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-table","2026-09-21"
"468","conservar_revisada","verified","5.2","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","How can a Snowflake user share data with another user who does not have a Snowflake account?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/data-sharing-reader-create","2026-09-21"
"469","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which semi-structured data formats can be loaded into Snowflake with a COPY command? (Choose two.)","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/create-file-format","2026-09-21"
"470","apartar","quarantine","","2.1","provisional","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Which statements reflect valid commands when using secondary roles? (Choose two.)","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/sql-reference/sql/use-secondary-roles.html",""
"471","apartar","quarantine","","1.2","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","How long is a query visible in the Query History page in the Snowflake Web Interface (UI)?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/ui-history.html#query-history",""
"472","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Two users share a virtual warehouse named WH_DEV_01. When one of the users loads data, the other one experiences performance issues while querying data. How does Snowflake recommend resolving this issue?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-considerations","2026-09-21"
"473","archivar","archived","","4.4","provisional","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","What is a feature of a stored procedure in Snowflake?","Repite el contraste caller/owner rights ya validado en ID 174; se conserva el original.","https://docs.snowflake.com/en/sql-reference/stored-procedures-usage.html#ownership-and-execution-privileges","2026-09-21"
"474","conservar_revisada","verified","2.2","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Which view will return users who have queried a table?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/sql-reference/account-usage/access_history","2026-09-21"
"475","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Why do Snowflake’s virtual warehouses have scaling policies?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"476","archivar","archived","","1.2","provisional","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","Where can a Snowflake user find the query history in Snowsight?","Memorización de la ubicación de un menú cambiante; el uso de Query History ya se evalúa con preguntas funcionales.","https://docs.snowflake.com/en/user-guide/ui-snowsight-activity","2026-09-21"
"477","conservar_revisada","verified","1.2","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","What is SnowSQL?","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/snowsql","2026-09-21"
"478","corregir","verified","1.3","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","A sequence is referenced with NEXTVAL in SELECT and INSERT statements. Which assumption is safe?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/querying-sequences","2026-09-21"
"479","apartar","quarantine","","5.2","provisional","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Which statement is true of zero-copy cloning?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/tables-storage-considerations#cloning-tables-schemas-and-databases",""
"480","apartar","quarantine","","2.1","provisional","Colaboracion y Proteccion de datos","Gestion de cuenta y Gobernanza","A Snowflake user has been granted the CREATE DATA EXCHANGE LISTING privilege with their role. Which tasks can this user now perform on the Data Exchange? (Choose two.)","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/data-exchange-marketplace-privileges#global-create-data-exchange-listing-privilege",""
"481","corregir","verified","3.2","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which parameter limits how far Snowflake may extend table retention to help protect unconsumed stream changes from staleness?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/streams-intro","2026-09-21"
"482","conservar_revisada","verified","2.3","","editorial","Rendimiento, Consultas y Transformacion","Gestion de cuenta y Gobernanza","If a virtual warehouse runs for 30 seconds after it is provisioned, how many seconds will the customer be billed for?","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/warehouses-considerations","2026-09-21"
"483","conservar_revisada","verified","1.3","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","When should a stored procedure be created with caller's rights?","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/developer-guide/stored-procedure/stored-procedures-rights","2026-09-21"
"484","corregir","verified","1.3","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which delimiters can enclose an inline JavaScript procedure body in CREATE PROCEDURE SQL? (Choose two.)","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/sql-reference/sql/create-procedure","2026-09-21"
"485","conservar_revisada","verified","4.4","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","What type of function can be used to estimate the approximate number of distinct values from a table that has trillions of rows?","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/querying-approximate-cardinality","2026-09-21"
"486","conservar_revisada","verified","2.2","","editorial","Colaboracion y Proteccion de datos","Gestion de cuenta y Gobernanza","Which Data Definition Language (DDL) commands are supported by Snowflake to manage tags? (Choose two.)","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/alter-tag","2026-09-21"
"487","corregir","verified","5.2","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Which listed objects can a provider expose as directly queryable data in a secure share? (Choose two.)","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/data-sharing-intro","2026-09-21"
"488","conservar_revisada","verified","4.1","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","A Query Profile shows a UnionAll operator with an extra Aggregate operator on top. What does this signify?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/ui-snowsight-activity","2026-09-21"
"489","apartar","quarantine","","","provisional","Gestion de cuenta y Gobernanza","Arquitectura y Data Cloud","Which data governance control has Snowflake embedded in the application?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/security-access-control-considerations.html#attribute-based-access-control",""
"490","apartar","quarantine","","2.2","provisional","Carga, Descarga y Conectividad","Gestion de cuenta y Gobernanza","What actions does the use of the PUT command do automatically? (Choose two.)","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/sql-reference/sql/put.html",""
"491","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which command should a Snowflake user execute to load data into a table?","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-table","2026-09-21"
"492","apartar","quarantine","","3.1","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which function returns the URL of a stage using the stage name as the input?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/sql-reference/functions/get_stage_location.html",""
"493","apartar","quarantine","","1.4","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","What is the MAXIMUM number of clusters that can be provisioned with a multi-cluster virtual warehouse? D. 100","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html",""
"494","apartar","quarantine","","","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which Snowflake table supports unstructured data?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/data-load-dirtables, https://docs.snowflake.com/en/user-guide/unstructured-intro",""
"495","apartar","quarantine","","3.1","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","When unloading data, which file format preserves the data values for floating-point number columns?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/data-unload-considerations#explicitly-converting-numeric-columns-to-parquet-data-types",""
"496","conservar_revisada","verified","2.3","","editorial","Rendimiento, Consultas y Transformacion","Gestion de cuenta y Gobernanza","Which virtual warehouse privilege is required to view a load-monitoring chart?","Enunciado, alternativas y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/warehouses-tasks","2026-09-21"
"497","apartar","quarantine","","","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which use case will always cause an exploding join in Snowflake?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/ui-snowsight-activity#label-exploding-join",""
"498","conservar_revisada","verified","2.3","","editorial","Rendimiento, Consultas y Transformacion","Gestion de cuenta y Gobernanza","How many resource monitors can be applied to a single virtual warehouse?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/resource-monitors","2026-09-21"
"499","apartar","quarantine","","5.1","provisional","Arquitectura y Data Cloud","Colaboracion y Proteccion de datos","What are the main differences between the account usage views and the information schema views? (Choose two.)","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/views-account-usage.html",""
"500","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which function generates a temporary URL whose holder can retrieve the file without a separate Snowflake login?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/unstructured-intro","2026-09-21"
"501","apartar","quarantine","","2.3","provisional","Carga, Descarga y Conectividad","Gestion de cuenta y Gobernanza","Which view can be used to determine if a table has frequent row updates or deletes?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/sql-reference/account-usage/table_storage_metrics.html",""
"502","apartar","quarantine","","4.2","provisional","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","How does the Snowflake search optimization service improve query performance?","Apartada tras cribado: posible clave o generalización incorrecta, dependencia de interfaz/versión, o condiciones insuficientes. Requiere validación individual.","https://docs.snowflake.com/en/user-guide/search-optimization-service",""
"503","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","How can a client retrieve a staged unstructured file using a URL?","Reformulado para corregir alcance, ambigüedad o datos desactualizados; respuesta contrastada.","https://docs.snowflake.com/en/user-guide/unstructured-intro","2026-09-21"
